,bResult,rResult,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp
102,0,1,Irelia,Gragas,Varus,Corki,Nautilus,Ryze,RekSai,Azir,Kalista,Thresh
103,0,1,Ryze,Sejuani,Viktor,Ezreal,Nautilus,Maokai,RekSai,TwistedFate,Sivir,Thresh
104,1,0,Gnar,RekSai,Leblanc,Vayne,Annie,Rumble,LeeSin,Azir,Sivir,Thresh
105,0,1,Maokai,Sejuani,Ziggs,Kalista,Nautilus,Rumble,RekSai,Varus,Sivir,Thresh
106,1,0,Ryze,Zac,Azir,Kalista,Morgana,Irelia,Gragas,Varus,Corki,Nautilus
107,0,1,Maokai,Gragas,Azir,Lucian,Nautilus,Rumble,Sejuani,Leblanc,Sivir,Janna
108,0,1,Maokai,RekSai,Cassiopeia,Vayne,Janna,Ryze,JarvanIV,Urgot,Sivir,Alistar
109,0,1,Maokai,LeeSin,Azir,Kalista,Nautilus,Gnar,RekSai,Leblanc,Sivir,Bard
110,0,1,Rumble,Sejuani,Orianna,Ashe,Thresh,Irelia,Gragas,Leblanc,Kalista,Bard
111,0,1,Rumble,RekSai,Azir,Sivir,Nautilus,Gnar,Zac,KogMaw,Ezreal,Thresh
112,0,1,Gnar,RekSai,Ekko,Sivir,Janna,Hecarim,Nunu,Azir,Jinx,Thresh
113,0,1,Hecarim,Gragas,Ekko,Kalista,Bard,Fizz,RekSai,KogMaw,Sivir,Morgana
114,1,0,Hecarim,Ekko,Leblanc,Corki,Alistar,Fizz,Nunu,Azir,Lucian,Nautilus
115,1,0,Maokai,LeeSin,Leblanc,Sivir,Alistar,DrMundo,Nidalee,Viktor,Lucian,Janna
116,0,1,Hecarim,JarvanIV,Rumble,Sivir,Alistar,Ekko,Gragas,Lulu,Ashe,Bard
117,1,0,Maokai,Gragas,Varus,Jinx,Karma,Fizz,Nunu,Azir,Corki,Alistar
118,1,0,Rumble,RekSai,Ekko,Kalista,Annie,Vladimir,Gragas,Yasuo,Corki,Malphite
119,0,1,Rumble,LeeSin,Kassadin,Kalista,Annie,Hecarim,Sejuani,Leblanc,Tristana,Nautilus
120,0,1,Maokai,RekSai,Azir,Kalista,Annie,Rumble,Gragas,JarvanIV,Tristana,Nautilus
121,1,0,Gnar,Nunu,Azir,Sivir,Bard,Hecarim,RekSai,Xerath,Vayne,Janna
122,1,0,Hecarim,XinZhao,TwistedFate,Corki,Alistar,Ekko,RekSai,Varus,Graves,Janna
123,0,1,Rumble,RekSai,Azir,Corki,Nautilus,Gnar,Gragas,KogMaw,Kalista,Alistar
124,0,1,Rumble,Sejuani,Jayce,Kalista,Annie,Gnar,RekSai,Azir,Corki,Alistar
125,1,0,Ekko,RekSai,Urgot,Vayne,Thresh,Hecarim,Gragas,Viktor,Sivir,Nautilus
126,1,0,Rumble,Sejuani,Jayce,Jinx,Annie,Maokai,Nidalee,Azir,Sivir,Thresh
127,1,0,Rumble,Gragas,Varus,Kalista,Thresh,Irelia,Evelynn,Azir,Corki,Alistar
128,0,1,Rumble,XinZhao,Urgot,Tristana,Thresh,Gnar,RekSai,Azir,Kalista,Annie
129,1,0,Gnar,RekSai,KogMaw,Ashe,Alistar,Fizz,Ekko,Azir,Sivir,Nautilus
130,0,1,Hecarim,RekSai,Nidalee,Kalista,Thresh,Rumble,Gragas,Yasuo,Corki,Nautilus
131,0,1,Rumble,Sejuani,Jayce,Kalista,Thresh,JarvanIV,RekSai,Lulu,Corki,Nautilus
132,0,1,Maokai,Nocturne,Kassadin,Sivir,Nautilus,Rumble,Evelynn,Hecarim,Jinx,Thresh
133,1,0,Sion,Ekko,Azir,Sivir,Annie,Gnar,Evelynn,TwistedFate,Ashe,Bard
134,1,0,Gnar,JarvanIV,Azir,Kalista,Thresh,Shen,Nocturne,Viktor,Sivir,Annie
135,1,0,Fizz,RekSai,Viktor,Ashe,Annie,Gnar,Ekko,Azir,Sivir,Thresh
136,1,0,Hecarim,RekSai,Azir,Sivir,Nautilus,Rumble,Sejuani,Jayce,Jinx,Annie
137,1,0,Hecarim,Gragas,Orianna,Sivir,Janna,Gnar,RekSai,Viktor,Vayne,Alistar
138,1,0,Maokai,LeeSin,Orianna,Sivir,Alistar,Rumble,Nocturne,Viktor,Jinx,Annie
139,1,0,Rumble,JarvanIV,Azir,Tristana,Alistar,Gnar,Evelynn,KogMaw,Sivir,Thresh
140,1,0,Vladimir,Gragas,Viktor,Sivir,Nautilus,Hecarim,RekSai,Azir,Corki,Thresh
141,1,0,Shen,RekSai,Vladimir,Kalista,Morgana,Nautilus,Olaf,Varus,Sivir,Annie
142,1,0,Nautilus,Nidalee,Ahri,Graves,Alistar,Shen,Gragas,Ezreal,Corki,Braum
143,0,1,Lulu,Evelynn,Viktor,Tristana,Alistar,Nautilus,Gragas,Ezreal,Sivir,Thresh
144,0,1,Fizz,RekSai,TwistedFate,Tristana,Alistar,Nautilus,Gragas,Yasuo,Corki,Annie
145,0,1,Rumble,Gragas,Lulu,Jinx,Alistar,Nautilus,Nidalee,Orianna,Sivir,Shen
146,1,0,Shen,Evelynn,Diana,Ezreal,Annie,Irelia,RekSai,Kassadin,Sivir,Nautilus
147,1,0,Shen,RekSai,Ahri,Kalista,Annie,Rumble,Gragas,Diana,Tristana,Nautilus
148,0,1,Rumble,Gragas,Lulu,Jinx,Morgana,Gnar,Nidalee,Ezreal,Sivir,Janna
149,0,1,Gnar,Gragas,Ezreal,Corki,Annie,Maokai,Nidalee,JarvanIV,Sivir,Shen
150,0,1,Shen,Evelynn,Ezreal,Varus,Alistar,Maokai,RekSai,TwistedFate,Sivir,Thresh
151,1,0,Shen,JarvanIV,Ezreal,Graves,Thresh,Rumble,LeeSin,Zed,Corki,Alistar
152,1,0,Gnar,Gragas,Azir,Sivir,Janna,Maokai,RekSai,Ezreal,Vayne,Alistar
153,0,1,Nautilus,RekSai,Ezreal,Corki,Braum,Fizz,Gragas,Orianna,Tristana,Janna
154,1,0,Maokai,Nidalee,Urgot,Sivir,Shen,Rumble,RekSai,Viktor,Vayne,Braum
155,1,0,Maokai,Gragas,Azir,Kalista,Thresh,Nautilus,Vi,Ezreal,Jinx,Shen
156,1,0,Gnar,LeeSin,TwistedFate,Sivir,Shen,Rumble,JarvanIV,Varus,Corki,Alistar
157,0,1,Irelia,Gragas,Ahri,KogMaw,Janna,Maokai,RekSai,Azir,Tristana,Braum
158,1,0,Maokai,Rengar,Orianna,Kalista,Karma,JarvanIV,LeeSin,Diana,Sivir,Nautilus
159,0,1,Maokai,Gragas,Orianna,Jinx,Shen,Nautilus,RekSai,Azir,Corki,Annie
160,1,0,Ryze,LeeSin,Ahri,Corki,Alistar,Nautilus,Gragas,TwistedFate,Jinx,Shen
161,1,0,Fizz,Nautilus,TwistedFate,Tristana,Janna,Maokai,Evelynn,Ahri,Vayne,Alistar
162,1,0,Rumble,Shyvana,Ahri,Kalista,Braum,Maokai,Evelynn,MasterYi,Corki,Alistar
163,1,0,Maokai,Nidalee,Orianna,KogMaw,Janna,Shen,Gragas,TwistedFate,Corki,Annie
164,1,0,Fizz,Gragas,Ezreal,Tristana,Alistar,Hecarim,RekSai,Viktor,Corki,Janna
165,0,1,Shen,Vi,Rumble,Tristana,Braum,Gnar,RekSai,Ahri,Corki,Thresh
166,0,1,Rumble,Evelynn,Jayce,Tristana,Braum,Maokai,Gragas,Varus,Corki,Alistar
167,1,0,Maokai,RekSai,TwistedFate,Kalista,Janna,Fizz,Gragas,Yasuo,Sivir,Nautilus
168,0,1,Maokai,Nidalee,Orianna,Kalista,Karma,Kennen,Gragas,Azir,Sivir,Janna
169,0,1,Rumble,RekSai,Viktor,Jinx,Thresh,Maokai,Gragas,KogMaw,Tristana,Janna
170,0,1,Vladimir,Elise,Syndra,Vayne,Bard,Shen,LeeSin,Orianna,Sivir,Alistar
171,0,1,Maokai,Nidalee,Azir,Tristana,Braum,Gnar,Vi,KogMaw,Jinx,Janna
172,0,1,Fizz,Gragas,Viktor,Corki,Braum,Maokai,Nidalee,Orianna,KogMaw,Janna
173,0,1,Shen,RekSai,Lulu,KogMaw,Braum,Olaf,Gragas,Ezreal,Tristana,Alistar
174,0,1,Maokai,Nidalee,Orianna,Lucian,Janna,Shen,Evelynn,Azir,Sivir,Alistar
175,0,1,Nautilus,Nidalee,Viktor,Jinx,Morgana,Maokai,Gragas,KogMaw,Tristana,Janna
176,1,0,Khazix,Zac,Zed,Lucian,Thresh,Maokai,Nunu,Orianna,Tristana,Karma
177,0,1,Riven,Ekko,Viktor,Sivir,Nautilus,JarvanIV,RekSai,Ezreal,KogMaw,Thresh
178,1,0,Olaf,Gragas,TwistedFate,Ezreal,Janna,Rumble,RekSai,Jayce,Corki,Alistar
179,0,1,Shen,Gragas,Viktor,Sivir,Annie,Gnar,Shyvana,Orianna,Tristana,Karma
180,0,1,Rumble,Gragas,JarvanIV,Sivir,Shen,Kassadin,Elise,Irelia,Draven,Thresh
181,1,0,Maokai,Gragas,Azir,Sivir,Annie,Gnar,LeeSin,Viktor,KogMaw,Janna
182,0,1,Shen,Gragas,Orianna,Tristana,Alistar,Maokai,Shyvana,Lulu,Ashe,Braum
183,1,0,Gnar,Nidalee,Orianna,KogMaw,Alistar,Maokai,Rengar,TwistedFate,Sivir,Braum
184,1,0,Maokai,Nidalee,Viktor,Kalista,Thresh,Fizz,Nautilus,TwistedFate,Sivir,Janna
185,0,1,Vladimir,LeeSin,TwistedFate,Lucian,Nautilus,Rumble,Sejuani,Urgot,Graves,Alistar
186,1,0,Lulu,Nunu,Corki,KogMaw,Janna,Vladimir,Sejuani,Karthus,Lucian,Nautilus
187,0,1,Rumble,JarvanIV,Ezreal,Sivir,Alistar,Hecarim,Sejuani,Vladimir,Lucian,Janna
188,1,0,Hecarim,LeeSin,Vladimir,Sivir,Nautilus,Maokai,RekSai,Orianna,Kalista,Thresh
189,1,0,Rumble,RekSai,Fizz,Lucian,Janna,Morgana,Vi,Vladimir,Sivir,Leona
190,0,1,Shyvana,Nunu,Vladimir,Sivir,Thresh,Hecarim,RekSai,Orianna,Graves,Alistar
191,0,1,Maokai,RekSai,Orianna,Graves,Morgana,Vladimir,Vi,Zed,Sivir,Leona
192,0,1,Hecarim,Gragas,Corki,Draven,Morgana,Sion,Sejuani,Lissandra,Lucian,Janna
193,1,0,Hecarim,Nunu,Azir,Sivir,Alistar,Maokai,Sejuani,Lissandra,Lucian,Nautilus
194,1,0,Hecarim,Sejuani,Corki,Lucian,Nautilus,Sion,Nunu,Lulu,KogMaw,Janna
195,0,1,Lulu,Sejuani,Urgot,Kalista,Janna,Maokai,Gragas,Corki,Lucian,Braum
196,1,0,Hecarim,Gragas,Lissandra,Sivir,Nautilus,Maokai,Sejuani,Lulu,Lucian,Alistar
197,0,1,Lulu,Nidalee,Urgot,Corki,Janna,Shyvana,Nunu,Orianna,Sivir,Nautilus
198,0,1,Kennen,Nunu,Karthus,Urgot,Nautilus,Lulu,Gragas,Ahri,Jinx,Thresh
199,0,1,Gnar,LeeSin,TwistedFate,Sivir,Leona,Maokai,Gragas,Leblanc,Lucian,Thresh
200,0,1,Shyvana,Nunu,Lulu,KogMaw,Alistar,Sion,Gragas,Urgot,Corki,Nautilus
201,1,0,Gnar,Gragas,Orianna,Kalista,Thresh,Vladimir,RekSai,Zed,Vayne,Nautilus
202,1,0,Rumble,Sejuani,Corki,Twitch,Thresh,Morgana,RekSai,Yasuo,Sivir,Janna
203,0,1,Hecarim,RekSai,Azir,Vayne,Janna,Shyvana,Gragas,Kassadin,Corki,Nautilus
204,1,0,Sion,Gragas,Ahri,Sivir,Nautilus,Hecarim,Nunu,Leblanc,Corki,Thresh
205,0,1,Gnar,Sejuani,Ziggs,Kalista,Janna,Lulu,Nunu,Corki,Lucian,Nautilus
206,0,1,Lulu,Gragas,Ahri,Jinx,Nami,Maokai,Sejuani,Urgot,Sivir,Braum
207,0,1,Maokai,Gragas,Corki,Lucian,Morgana,Sion,Sejuani,KogMaw,Kalista,Kennen
208,1,0,Maokai,Sejuani,Urgot,Corki,Kennen,Sion,Gragas,Lulu,Sivir,Braum
209,0,1,Vladimir,Zac,Zed,Sivir,Nautilus,Maokai,Vi,Chogath,Kalista,Kennen
210,1,0,Shen,Elise,Azir,KogMaw,Janna,Gnar,Ekko,Viktor,Tristana,Alistar
211,0,1,Gnar,Nidalee,Kassadin,Lucian,Braum,Shen,Elise,Lulu,KogMaw,Leona
212,1,0,Shen,Elise,Azir,Tristana,Alistar,Gangplank,RekSai,KogMaw,Corki,Thresh
213,0,1,Shen,Evelynn,Azir,Tristana,Thresh,Olaf,Nidalee,Lulu,Sivir,Braum
214,1,0,Shen,Elise,Urgot,Tristana,Braum,Olaf,Nidalee,Orianna,Corki,Thresh
215,1,0,Olaf,Nidalee,Lulu,Jinx,Thresh,Maokai,Elise,Orianna,Ashe,Alistar
216,0,1,Shen,Evelynn,Urgot,Tristana,Janna,Gnar,Elise,Ahri,Sivir,Alistar
217,1,0,Olaf,Ekko,Viktor,Tristana,Braum,Shen,Evelynn,Lulu,KogMaw,Alistar
218,0,1,Maokai,LeeSin,Lulu,Vayne,Braum,Gnar,Ekko,Orianna,Tristana,Thresh
219,1,0,Gnar,Ekko,Orianna,Jinx,Alistar,Maokai,LeeSin,Viktor,KogMaw,Braum
220,0,1,Gnar,Elise,Lulu,KogMaw,Thresh,Maokai,Ekko,Azir,Jinx,Braum
221,1,0,Gnar,Nidalee,Azir,Jinx,Braum,Maokai,Elise,Viktor,Sivir,Alistar
222,1,0,Nautilus,Gragas,Azir,Vayne,Braum,Maokai,Evelynn,Ahri,Sivir,Alistar
223,1,0,Gnar,Ekko,Lulu,Jinx,Thresh,Nautilus,Gragas,Viktor,Twitch,Braum
224,1,0,Maokai,Gragas,Orianna,Vayne,Janna,Ryze,LeeSin,Lulu,Ashe,Leona
225,1,0,Shen,Evelynn,Orianna,Ashe,Soraka,Gangplank,Gragas,Lulu,KogMaw,Braum
226,1,0,Sion,Gragas,Orianna,Vayne,Alistar,Malphite,Elise,Lulu,KogMaw,Janna
227,0,1,Maokai,Evelynn,Diana,Ashe,Leona,Nautilus,Gragas,Orianna,Lucian,Janna
228,1,0,Yasuo,Gragas,Viktor,Tristana,Braum,Gnar,Nidalee,Orianna,KogMaw,Janna
229,0,1,Nautilus,Ekko,Yasuo,KogMaw,Alistar,Gnar,Gragas,Viktor,Jinx,Janna
230,1,0,Gnar,Ekko,Viktor,Ashe,Braum,Nautilus,Gragas,Yasuo,KogMaw,Janna
231,0,1,Rumble,Amumu,Diana,Tristana,Karma,Gnar,Gragas,Viktor,Ashe,Braum
232,0,1,Lulu,Amumu,Yasuo,Tristana,Karma,Gnar,Gragas,Viktor,Ashe,Alistar
233,1,0,Maokai,Shyvana,Orianna,Varus,Braum,Gnar,Gragas,Viktor,Ashe,Alistar
234,1,0,Maokai,Khazix,Viktor,Varus,Braum,Gangplank,Gragas,TwistedFate,Ashe,Alistar
235,1,0,Shen,Elise,Azir,Ashe,Janna,Malphite,LeeSin,Fizz,Tristana,Braum
236,1,0,Shen,Gragas,Azir,Sivir,Soraka,Maokai,Elise,Varus,Ashe,Janna
237,0,1,Gnar,Shyvana,Ahri,Ashe,Karma,Fizz,Elise,Orianna,Sivir,Soraka
238,0,1,Shen,Evelynn,Orianna,Sivir,Alistar,Rumble,Gragas,Yasuo,Vayne,Morgana
239,1,0,Rumble,Gragas,Diana,Vayne,Morgana,Shen,Elise,Yasuo,Sivir,Alistar
240,0,1,Lulu,Ekko,Velkoz,Kalista,Janna,Maokai,Elise,Azir,Tristana,Karma
241,0,1,Nautilus,Nidalee,Lulu,Vayne,Alistar,Maokai,Gragas,Orianna,Draven,Braum
242,0,1,Shen,Elise,Diana,Vayne,Braum,Gnar,Gragas,Viktor,Corki,Alistar
243,0,1,Gnar,Gragas,Viktor,Corki,Alistar,Rumble,Ekko,Orianna,Vayne,Braum
244,1,0,Sion,Nidalee,Viktor,Draven,Morgana,Lulu,RekSai,Orianna,Vayne,Braum
245,0,1,DrMundo,Elise,TwistedFate,Tristana,Alistar,Jax,RekSai,Lissandra,Kalista,Bard
