id,	champion,	name,	description,	effect,	cost,	range
1,	12,	'Pulverize',	'Alistar smashes the ground, dealing damage to all nearby enemies and tossing them into the air.  On landing, enemies are stunned.',	'Alistar smashes the ground, dealing 60/105/150/195/240 (+0.5) magic damage and tossing all nearby enemy units into the air, stunning them for 1.5 seconds.',	'70/80/90/100/110 Mana',	365
2,	12,	'Headbutt',	'Alistar rams a target with his head, dealing damage and knocking the target back.',	'Alistar charges at an enemy and rams them, dealing 55/110/165/220/275 (+0.7) magic damage and stunning them while knocking them back.',	'70/80/90/100/110 Mana',	650
3,	12,	'Triumphant Roar',	'Alistar lets out a commanding war cry, restoring health to himself and nearby friendly units for half the amount.  Can be cast more often if nearby enemies are dying.',	'Restores 60/90/120/150/180 (+0.2) health to Alistar and half as much to nearby allies.  Cooldown is reduced by 2 seconds each time a nearby enemy unit dies.',	'40/50/60/70/80 Mana',	575
4,	12,	'Unbreakable Will',	'Alistar lets out a wild roar, gaining bonus damage, removing all crowd-control effects on himself, and reducing incoming physical and magical damage for the duration.',	'Removes disables from Alistar, and Alistar gains 60/75/90 Attack Damage and takes 50/60/70% reduced physical and magic damage for 7 seconds.',	'100 Mana',	0
5,	12,	'Trample',	'Each time Alistar casts a spell, he Tramples nearby units and turrets for a few seconds, dealing damage to units he walks over.',	'',	'',	0
1,	32,	'Bandage Toss',	'Amumu tosses a sticky bandage at a target, stunning and damaging the target while he pulls himself to them.',	'Throws a bandage to target location. If it hits an enemy unit, Amumu will pull himself to the enemy, stun them, and deal 80/130/180/230/280 (+0.7) magic damage. ',	'80/90/100/110/120 Mana',	1100
2,	32,	'Despair',	'Overcome by anguish, nearby enemies lose a percentage of their maximum health each second.',	'Toggle: Nearby enemies take 8/12/16/20/24 magic damage plus 1.5/1.8/2.1/2.4/2.7 (+0.01)% of their maximum health each second.',	'8 Mana per Second',	300
3,	32,	'Tantrum',	'Permanently reduces the physical damage Amumu would take.  Amumu can unleash his rage, dealing damage to surrounding enemies. Each time Amumu is hit, the cooldown on tantrum is reduced by 0.5 seconds.',	'Passive: Amumu takes 2/4/6/8/10 reduced damage from physical attacks.Active: Amumu deals 75/100/125/150/175 (+0.5) magic damage to surrounding units.  Each time Amumu is hit, the cooldown on Tantrum is reduced by 0.5 seconds.',	'35 Mana',	350
4,	32,	'Curse of the Sad Mummy',	'Amumu entangles surrounding enemy units in bandages, damaging them and rendering them unable to attack or move.',	'Amumu entangles surrounding enemy units, dealing 150/250/350 (+0.8) magic damage and preventing attacks and movement for 2 seconds.',	'100/150/200 Mana',	550
5,	32,	'Cursed Touch',	'Amumu's attacks reduce the target's Magic Resistance for a short duration.',	'',	'',	0
1,	34,	'Flash Frost',	'Anivia brings her wings together and summons a sphere of ice that flies towards her opponents, chilling and damaging anyone in its path. When the lance explodes it does moderate damage in a radius, stunning anyone in the area.',	'A massive chunk of ice flies toward target location, dealing 60/90/120/150/180 (+0.5) magic damage and chilling targets, slowing their Movement Speed by 20%. At the end of its range or if Anivia activates the spell again, the missile detonates, doing 60/90/120/150/180 (+0.5) magic damage in a small area and stunning units for 1 second.',	'80/100/120/140/160 Mana',	1100
2,	34,	'Crystallize',	'Anivia condenses the moisture in the air into an impassable wall of ice to block all movement. The wall only lasts a short duration before it melts.',	'Anivia summons an impassable wall of ice 400/500/600/700/800 units wide, blocking all movement. The wall lasts for 5 seconds before it melts.',	'70/90/110/130/150 Mana',	1000
3,	34,	'Frostbite',	'With a flap of her wings, Anivia blasts a freezing gust of wind at her target, dealing a medium amount of damage. If the target has been slowed by an ice effect, the damage they take is doubled.',	'Anivia blasts her target with a freezing wind, dealing 55/85/115/145/175 (+0.5) magic damage.  If the target is chilled, they take double damage.',	'50/60/70/80/90 Mana',	650
4,	34,	'Glacial Storm',	'Anivia summons a driving rain of ice and hail to damage her enemies and slow their advance.',	'Toggle: Anivia calls forth a driving rain of ice and hail, dealing 80/120/160 (+0.25) magic damage per second and chilling targets, slowing their Attack and Movement Speed by 20%.Drains 40/50/60 Mana per second.',	'75 Mana',	625
5,	34,	'Rebirth',	'Upon dying, Anivia will revert into an egg. If the egg can survive for six seconds, she is gloriously reborn.',	'',	'',	0
1,	1,	'Disintegrate',	'Annie hurls a mana-infused fireball, dealing damage and refunding the mana cost if it destroys the target.',	'Deals 85/125/165/205/245 (+0.7) magic damage. Mana cost is refunded if Disintegrate kills the target.',	'60/65/70/75/80 Mana',	625
2,	1,	'Incinerate',	'Annie casts a blazing cone of fire, dealing damage to all enemies in the area.',	'Casts a cone of fire dealing 80/130/180/230/280 (+0.75) magic damage to all enemies in the area.',	'70/80/90/100/110 Mana',	625
3,	1,	'Molten Shield',	'Increases Annie's Armor and Magic Resist and damages enemies who hit Annie with basic attacks.',	'Increases Armor and Magic Resist by 20/30/40/50/60 for 5 seconds. Deals 20/30/40/50/60 (+0.2) magic damage to enemies who attack Annie with basic attacks.',	'20 Mana',	0
4,	1,	'Summon: Tibbers',	'Annie wills her bear Tibbers to life, dealing damage to units in the area. Tibbers can attack and also burns enemies that stand near him.',	'Tibbers appears in a burst of flame dealing 200/325/450 (+0.7) magic damage to enemies in the target area.Tibbers chases down enemies and deals 35 (+0.2) magic damage each second to nearby foes. He lasts for 45 seconds and his Health, Armor, Magic Resist, and Attack Damage increase with rank.Tibbers can be controlled by holding the alt key and using the right mouse button or by reactivating this ability.',	'125/175/225 Mana',	600
5,	1,	'Pyromania',	'After casting 4 spells, Annie's next offensive spell will stun the target for 1.75 seconds.',	'',	'',	0
1,	22,	'Frost Shot',	'While active, each of Ashe's basic attacks slow her targets. This drains Mana with each attack.',	'Toggle: Basic attacks slow enemies by 15/20/25/30/35% for 2 seconds.',	'8 Mana per Attack',	0
2,	22,	'Volley',	'Ashe fires 7 arrows in a cone for increased damage.  Volley also applies Ashe's current level of Frost Shot.',	'Fires arrows in a cone, dealing 40/50/60/70/80 (+1.0) physical damage. Volley applies Frost Shot's slow effect.',	'60 Mana',	600
3,	22,	'Hawkshot',	'Each time Ashe kills a unit, she gains some extra gold. Ashe can activate to send her Hawk Spirit on a scouting mission.',	'Passive: Gains 1/2/3/4/5 extra gold whenever Ashe kills an enemy.Active: Reveals terrain as it flies toward target location. Grants vision for 5 seconds.Total Gold Retrieved: 1.0/2.0/3.0/4.0/5.0 gold.',	'No Cost',	2500
4,	22,	'Enchanted Crystal Arrow',	'Ashe fires a missile of ice in a straight line.  If the arrow collides with an enemy Champion, it deals damage and stuns the Champion for up to 3.5 seconds, based on how far the arrow has traveled.  In addition, surrounding enemy units take damage and are slowed.',	'Launches a crystal arrow of ice in a line that stuns an enemy Champion dealing 250/425/600 (+1) magic damage. The farther the arrow flies, the longer the stun, up to 3.5 seconds. Surrounding enemies are slowed by 50% for 3 seconds and take half damage.',	'150 Mana',	20000
5,	22,	'Focus',	'While out of combat, Ashe's Critical Strike chance increases every 3 seconds for her next attack.',	'',	'',	0
1,	53,	'Rocket Grab',	'Blitzcrank fires his right hand to grab an opponent on its path, dealing damage and dragging it back to him.',	'Blitzcrank fires his right hand, if it encounters an enemy unit it will stun them and deal 80/135/190/245/300 (+1) magic damage while he pulls them to himself.',	'120 Mana',	925
2,	53,	'Overdrive',	'Blitzcrank super charges himself to get dramatically increased movement and attack speed.',	'Blitzcrank supercharges himself to increase Movement Speed by 16/20/24/28/32% and attack speed by 30/38/46/54/62% for 8 seconds.',	'75 Mana',	0
3,	53,	'Power Fist',	'Blitzcrank charges up his fist to make his next attack deal double damage and pop his target up in the air.',	'Blitzcrank charges up his fist to make his next attack deal double his total attack damage as physical damage and pop his target up in the air.',	'25 Mana',	0
4,	53,	'Static Field',	'Passively causes lightning bolts to damage a nearby enemy. Additionally, Blitzcrank can activate this ability to damage nearby enemies and silence them for 0.5 seconds, but doing so removes the passive lightning until Static Field becomes available again.',	'Passive: Lightning arcs off of Blitzcrank to hit a random nearby enemy for 100/200/300 (+0.2) magic damage every 2.5 seconds.Active: Deals 250/375/500 (+1) magic damage and silences surrounding enemy units for 0.5 seconds. The passive is not in effect during the cooldown.',	'150 Mana',	600
5,	53,	'Mana Barrier',	'When Blitzcrank life is brought below 20% health he activates Mana Barrier. This creates a mana shield equal to 50% of his mana for 10 seconds. Mana Barrier can only occur once every 90 seconds.',	'',	'',	0
1,	63,	'Sear',	'Brand launches a ball of fire forward that deals magic damage. If the target is ablaze, Sear will stun the target for 2 seconds.',	'Brand launches a ball of fire forward that deals 80/120/160/200/240 (+0.65) magic damage.Blaze: If the target is ablaze, Sear will stun the target for 2 seconds.',	'50 Mana',	1050
2,	63,	'Pillar of Flame',	'After a short delay, Brand creates a pillar of flame at a target area, dealing magic damage to enemy units with the area. Units that are ablaze take an additional 25% damage.',	'After a short delay, Brand creates a pillar of flame at a target area, dealing 75/120/165/210/255 (+0.6) magic damage to enemy units within the area.Blaze: Units that are ablaze take an additional 25% damage from Pillar of Flame.',	'70/80/90/100/110 Mana',	900
3,	63,	'Conflagration',	'Brand conjures a powerful blast at his target, dealing magic damage to them. If the target is ablaze, Conflagration spreads to nearby enemies.',	'Brand conjures a powerful blast at his target, dealing 70/105/140/175/210 (+0.55) magic damage. Blaze: If the target is ablaze, Conflagration spreads to nearby enemies.',	'60/65/70/75/80 Mana',	625
4,	63,	'Pyroclasm',	'Brand unleashes a devastating torrent of fire, dealing magic damage each time it bounces. If a target is ablaze, Pyroclasm will priotize champions for the next bounce.',	'Brand unleashes a devastating torrent of fire, dealing 150/250/350 (+0.5) magic damage each time it bounces up to 5 bounces.Blaze: If a target is ablaze, Pyroclasm will prioritize champions for the next bounce.',	'100/150/200 Mana',	750
5,	63,	'Blaze',	'Brand's spells light his targets ablaze, dealing 2% of their maximum Health in magic damage per second for 4 seconds.',	'',	'',	0
1,	51,	'Piltover Peacemaker',	'Caitlyn revs up her rifle for 1 second to unleash a penetrating shot that deals physical damage (deals less damage to subsequent targets).',	'Revs the rifle for 1 second to fire a piercing shot dealing 20/60/100/140/180 (+1.3) physical damage. Deals 10% less damage to each subsequent target down to a minimum of 50%.',	'50/60/70/80/90 Mana',	1250
2,	51,	'Yordle Snap Trap',	'Caitlyn sets a trap to find sneaky yordles. When sprung, the trap immobilizes the champion, reveals them for a short duration, and deals magic damage over 1.5 seconds.',	'Sets a trap that an enemy Champion can spring immobilizing and revealing them for a short duration. The trap deals 80/130/180/230/280 (+0.6) magic damage over 1.5 seconds, and lasts for 4 minutes. Only 3 traps may be active at once.',	'50 Mana',	800
3,	51,	'90 Caliber Net',	'Caitlyn fires a heavy net to slow her target. The recoil knocks Caitlyn back.',	'Fires a net dealing 80/130/180/230/280 (+0.8) magic damage and slowing an enemy by 50% for 1/1.25/1.5/1.75/2 second(s). Knocks Caitlyn back.',	'75 Mana',	950
4,	51,	'Ace in the Hole',	'Caitlyn takes time to line up the perfect shot, dealing massive damage to a single target at a huge range. Enemy champions can intercept the bullet for their ally.',	'Takes a second to line up the perfect shot, firing a bullet at an enemy Champion dealing 250/475/700 (+2.0) physical damage at 2000/2500/3000 range. Other enemy Champions can intercept the bullet.',	'100 Mana',	2000
5,	51,	'Headshot',	'Every few basic attacks, Caitlyn will fire a headshot dealing 150% damage to a champion or 250% damage to a minion.',	'',	'',	0
1,	69,	'Noxious Blast',	'Cassiopeia blasts an area with a delayed high damage poison, granting her increased Movement Speed if she hits a champion.',	'Cassiopeia blasts an area with a delayed high damaging poison, dealing 75/115/155/195/235 (+0.8) magic damage over 3 seconds and granting her 15/17.5/20/22.5/25% Movement Speed for 3 seconds if she hits a champion.',	'35/45/55/65/75 Mana',	850
2,	69,	'Miasma',	'Cassiopeia releases a cloud of poison, lightly damaging and slowing any enemy that happens to pass through it.',	'Cassiopeia releases a growing cloud of poison that lasts for 7 seconds. Any enemy that passes through it is poisoned for 2 seconds, dealing 25/35/45/55/65 (+0.15) magic damage each second and slowing them by 15/20/25/30/35%. Continual exposure renews this poison.',	'70/80/90/100/110 Mana',	850
3,	69,	'Twin Fang',	'Cassiopeia lets loose a damaging attack at her target.  If the target is poisoned the cooldown of this spell is refreshed. ',	'Cassiopeia deals 50/85/120/155/190 (+0.55) magic damage to her target. If the target is poisoned then Twin Fang's cooldown is reduced to 0.5 seconds.',	'50/60/70/80/90 Mana',	700
4,	69,	'Petrifying Gaze',	'Cassiopeia releases a swirl of magical energy from her eyes, stunning any enemies in front of her that are facing her and slowing any others with their back turned.',	'Cassiopeia deals 200/325/450 (+0.6) magic damage to all enemies in front of her. Enemies facing her are stunned for 2 seconds while enemies facing away are slowed by 60%.',	'120/160/200 Mana',	750
5,	69,	'Deadly Cadence',	'After casting a spell, any subsequent spellcasts will cost 10% less Mana for 5 seconds (effect stacks up to 5 times).',	'',	'',	0
1,	31,	'Rupture',	'Ruptures the ground at target location, popping enemy units into the air, dealing damage and slowing them.',	'Ruptures the ground at target location.  Enemies caught in the rupture are launched into the air for 1 second, take 80/135/190/245/305 (+1) magic damage, and are slowed by 60% for 3 seconds.',	'90 Mana',	950
2,	31,	'Feral Scream',	'Cho'Gath unleashes a terrible scream at enemies in a cone, dealing magic damage and Silencing enemies for a few seconds.',	'Silences enemies in a cone for 1.5/1.75/2/2.25/2.5 second(s) and deals 75/125/175/225/275 (+0.7) magic damage.',	'70/80/90/100/110 Mana',	300
3,	31,	'Vorpal Spikes',	'Cho'Gath's attacks passively release deadly spikes, dealing damage to all enemy units in front of him.',	'Toggle: Basic attacks launch spikes that deal 20/35/50/65/80 (+0.3) magic damage. Spikes grow wider as Cho'gath levels.',	'No Cost',	0
4,	31,	'Feast',	'Devours an enemy unit, dealing a high amount of true damage. If the target is killed, Cho'Gath grows, gaining maximum health (maximum 6 stacks). Cho'Gath loses half of his stacks upon death.',	'Hungrily devours an enemy dealing 300/475/650 (+0.7) true damage to Champions, or 1000 (+0.7) true damage to minions.If the enemy is killed by Feast, Cho'Gath grows, gaining 90/120/150 maximum Health (maximum 6 stacks). Loses half of his stacks on death.',	'100 Mana',	150
5,	31,	'Carnivore',	'Whenever Cho'Gath kills a unit, he recovers health and mana. The values restored increase with Cho'Gath's level.',	'',	'',	0
1,	42,	'Phosphorus Bomb',	'Corki fires a flash bomb at a target location. This attack reveals non-stealthed units around the blast and champions for 6 seconds.',	'Deals 80/130/180/230/280 (+0.5) magic damage to enemies in a target area. In addition, the blast reveals the area and champions hit by the blast for 6 seconds (does not reveal stealth).',	'80/90/100/110/120 Mana',	600
2,	42,	'Valkyrie',	'Corki surges to target location, dropping bombs that create a trail of destruction for opponents who remain in the fire.',	'Corki surges to target location, dealing 60/90/120/150/180 (+0.4) magic damage per second to enemies in the fire left along his path.',	'100 Mana',	800
3,	42,	'Gatling Gun',	'Corki's gatling gun rapidly fires in a cone in front of him, dealing damage and reducing enemy armor.',	'Corki's gatling gun fires at all targets in front of him for 4 seconds, dealing 20/32/44/56/68 (+0.4) physical damage and reducing 2/4/6/8/10 armor per second. The armor reduction stacks and lasts 2 seconds.',	'60/65/70/75/80 Mana',	0
4,	42,	'Missile Barrage',	'Corki fires a missile toward his target location that explodes on impact, dealing damage to enemies in an area. Corki stores one missile every 12 seconds up to 7 missiles total. Every 4th missile will be a Big One, dealing extra damage.',	'Corki fires a missile toward his targeted location that will collide with the first enemy it hits. Each missile deals 120/190/260 (+0.2) (+0.3) area magic damage.Corki stores one missile every 10.0 seconds up to 7 missiles at any given time.Every 3rd missile will be a Big One, dealing 50% extra damage.',	'30/35/40 Mana Cost',	1225
5,	42,	'Hextech Shrapnel Shells',	'Corki's basic attacks deal bonus true damage to minions, monsters, and champions.',	'',	'',	0
1,	122,	'Decimate',	'Darius swings his axe in a wide circle. Enemies struck by the blade take more damage than those struck by the handle.',	'Deals 70/105/140/175/210 (+0.7) physical damage to all nearby enemies in a circle.  Champions in the outer half of the ability are struck by the blade, taking 50% additional damage.',	'40 mana',	1
2,	122,	'Crippling Strike',	'Darius's next attack strikes a crucial artery.  As they bleed out, their movement and attack speed is slowed.  Crippling Strike's cooldown is lower the more bloodied its target.',	'The next basic attack deals 120/140/160/180/200% damage and slows the target's movement and attack speed by 20/25/30/35/40% for 2 seconds.Crippling Strike's base cooldown is reduced by 1 second for each stack of Hemorrhage on the target.',	'30/35/40/45/50 mana',	0
3,	122,	'Apprehend',	'Darius hones his axe, passively causing his physical damage to ignore a percentage of his target's Armor.  When activated, Darius sweeps up his enemies with his axe's hook and pulls them to him.',	'Passive: Darius's physical damage ignores 5/10/15/20/25% of his target's Armor.Active: Pulls in all enemies in front of Darius.',	'45 mana',	540
4,	122,	'Noxian Guillotine',	'Darius leaps to an enemy champion and strikes a lethal blow, dealing true damage.  This damage is increased for each stack of Hemorrhage on the target. If Noxian Guillotine is a killing blow, its cooldown is refreshed for a brief duration.',	'Leaps to target enemy champion and strikes a lethal blow, dealing 160/250/340 (+0.75) true damage.  For each stack of Hemorrhage on the target, Noxian Guillotine deals an additional 20% damage.  Maximum Damage: 0.0.If Noxian Guillotine kills the target, Darius may recast Noxian Guillotine for 12 seconds.',	'100 mana',	460
5,	122,	'Hemorrhage',	'Darius aims his attacks strategically, causing his target to bleed. This effect stacks up to five times.',	'',	'',	0
1,	131,	'Crescent Strike',	'Diana swings her blade to unleash a bolt of lunar energy that deals damage in an arc before exploding. Afflicts enemies struck with the Moonlight debuff, revealing them. ',	'Unleashes a bolt of lunar energy in an arc dealing 60/95/130/165/200 (+0.7) magic damage.Afflicts enemies struck with Moonlight, revealing them for 3 seconds.',	'55 Mana',	830
2,	131,	'Pale Cascade',	'Diana creates three orbiting spheres that detonate on contact with enemies to deal damage in an area. She also gains a temporary shield that absorbs damage. This shield is refreshed if her third sphere detonates.',	'Creates three orbiting spheres that explode on contact with enemies dealing 20/35/50/65/80 (+0.2) magic damage. Lasts 5 seconds.Also gains a temporary shield that absorbs 55/80/105/130/155 (+0.45) damage. This shield is refreshed if the third sphere detonates.',	'60/70/80/90/100 Mana',	0
3,	131,	'Moonfall',	'Diana draws in and slows all nearby enemies.',	'Draws in all nearby enemies and slows them by 35/40/45/50/55% for 2 seconds.',	'70 Mana',	450
4,	131,	'Lunar Rush',	'Diana teleports to an enemy and deals magic damage. Lunar Rush has no cooldown when used to teleport to a target afflicted with Moonlight.',	'Becomes the living embodiment of the vengeful moon, teleporting to an enemy and dealing 100/160/220 (+0.6) magic damage.Lunar Rush has no cooldown when used to teleport to an enemy afflicted with Moonlight.',	'50/65/80 Mana',	825
5,	131,	'Moonsilver Blade',	'Gains Attack Speed. Every third strike cleaves nearby enemies for additional magic damage.',	'',	'',	0
1,	36,	'Infected Cleaver',	'Dr. Mundo hurls his cleaver, dealing damage equal to a portion of his target's current Health and slowing them for a short time. Dr. Mundo delights in the suffering of others, so he is returned half of the health cost when he successfully lands a cleaver.',	'Dr. Mundo hurls his cleaver, dealing magic damage equal to 15/18/21/23/25% of the target's current Health (80/130/180/230/280 damage minimum) and slowing them by 40% for 2 seconds.Half of the health cost is refunded if the cleaver hits a target.',	'Costs 50/60/70/80/90 Health',	900
2,	36,	'Burning Agony',	'Dr. Mundo drains his health to reduce the duration of disables and deal continual damage to nearby enemies.',	'Toggle: Dr. Mundo deals 35/50/65/80/95 (+0.2) magic damage to nearby enemies, and reduces the duration of disables on Dr Mundo by 10/15/20/25/30%.',	'Costs 10/15/20/25/30 Health Per Sec',	325
3,	36,	'Masochism',	'Masochism increases Dr. Mundo's Attack Damage by a flat amount for 5 second. In addition, Dr. Mundo also gains an additional amount of Attack Damage for each percentage of Health he is missing.',	'Increases Attack Damage by 40/55/70/85/100 for 5 seconds. Dr. Mundo gains an additional +0.4/0.55/0.7/0.85/1 Attack Damage for each percentage of Health he is missing.',	'Costs 25/35/45/55/65 Health',	0
4,	36,	'Sadism',	'Dr. Mundo sacrifices a portion of his Health for increased Movement Speed and drastically increased Health Regeneration.',	'Dr. Mundo regenerates 40/50/60% of his maximum Health over 12 seconds. Additionally, he gains 15/25/35% Movement Speed.',	'Costs 20% of Current Health',	0
5,	36,	'Adrenaline Rush',	'Dr. Mundo regenerates 0.3% of his maximum Health each second.',	'',	'',	0
1,	119,	'Spinning Axe',	'Draven's next attack will deal bonus physical damage. This axe will ricochet off the target high up into the air. If Draven catches it, he automatically readies another Spinning Axe. Draven can have two Spinning Axes at once.',	'Draven's next attack will deal 0.0 bonus physical damage. The bonus is equal to 45/55/65/75/85% of his total Attack Damage.This axe will ricochet off the target high up into the air. If Draven catches it, he automatically readies another Spinning Axe.Draven can have two Spinning Axes at once.',	'45 Mana',	0
2,	119,	'Blood Rush',	'Draven gains increased Movement Speed and Attack Speed. The Movement Speed bonus decreases rapidly over its duration. Catching a Spinning Axe will refresh the cooldown of Blood Rush.',	'Draven gains 40/45/50/55/60% increased Movement Speed for 1.5 seconds and 20/25/30/35/40% increased Attack Speed for 3 seconds. The Movement Speed bonus decreases rapidly over its duration.Catching a Spinning Axe will refresh the cooldown of Blood Rush.',	'40 Mana',	0
3,	119,	'Stand Aside',	'Draven throws his axes, dealing physical damage to targets hit and knocking them aside. Targets hit are slowed.',	'Draven throws his axes, dealing 70/105/140/175/210 (+0.5) physical damage to targets hit and knocking them aside. Targets hit are slowed by 20/25/30/35/40% for 2 seconds.',	'70 Mana',	1050
4,	119,	'Whirling Death',	'Draven hurls two massive axes to deal physical damage to each unit struck. Whirling Death slowly reverses direction and returns to Draven after striking an enemy champion. Draven may also activate this ability while the axes are in flight to cause it to return early. Deals less damage for each unit hit and resets when the axes reverse direction.',	'Draven hurls two massive axes to deal 175/275/375 (+1.1) physical damage to each unit struck.Whirling Death slowly reverses direction and returns to Draven after striking an enemy champion. Draven may also activate this ability while the axes are in flight to cause it to return early. Deals 8% less damage for each unit hit (Minimum 40%) and resets when the axes reverse direction.',	'120 Mana',	20000
5,	119,	'Wicked Blades',	'Draven's Critical Strikes deal bonus physical damage over time. Spinning Axe also causes this effect even if it does not Critically Strike.',	'',	'',	0
1,	60,	'Neurotoxin / Venomous Bite',	'Human Form: Deals damage based upon how high the target's Health is.Spider Form: Lunges at an enemy and deals damage based upon how low their Health is.',	'Deals magic damage equal to 40/80/120/160/200 plus 8% (+0.03%) of the target's current Health. Max 60/120/180/240/300 bonus damage to monsters.',	'80/85/90/95/100 Mana',	625
2,	60,	'Volatile Spiderling / Skittering Frenzy',	'Human Form: Releases a venom-gorged Spiderling that explodes when it nears a target.Spider Form: Elise and her Spiderlings gain attack speed and heal Elise on each attack.',	'Summons a venom-gorged Spiderling that moves to target location and explodes, dealing 75/125/175/225/275 (+0.8) magic damage when it nears an enemy or after 3 seconds.',	'60/70/80/90/100 Mana',	950
3,	60,	'Cocoon / Rappel',	'Human Form: Stuns and reveals the first enemy unit hit.Spider Form: Elise and her Spiderlings ascend into the air and then descend upon target enemy.',	'Stuns and reveals the first enemy hit for 1.5 seconds.',	'50 Mana',	1075
4,	60,	'Spider Form',	'Transforms into a menacing spider with new abilities. While in Spider Form, Elise deals bonus magic damage on attack and has increased movement speed, armor, and magic resistance.',	'Elise transforms into a menacing spider, granting access to arachnid abilities.Spider Form: Elise deals 10/20/30/40 (+0.3) bonus magic damage per attack and gains 10 Movement Speed, 10/15/20/25 Armor, and 10/15/20/25 Magic Resistance.Spiderlings: Spiderlings deal 10/20/30/40 (+0.1) damage and take 10/20/30/40% reduced damage from multi-target abilities. Max 2/3/4/5 Spiderlings.',	'No Cost',	0
5,	60,	'Spider Swarm',	'Human Form: When Elise's spells hit an enemy she readies a spiderling.Spider Form: Elise summons her Spiderlings to attack nearby foes.',	'',	'',	0
1,	28,	'Hate Spike',	'Evelynn fires a line of spikes through an enemy, dealing damage to all enemies in its path.',	'Evelynn fires a line of spikes through a nearby enemy dealing 40/60/80/100/120 (+0.45) (+0.4) magic damage to all enemies in its path.Hate Spike prioritizes targets Evelynn has recently attacked.',	'16/22/28/34/40 Mana',	500
2,	28,	'Dark Frenzy',	'Evelynn passively increases her Movement Speed when hitting enemy champions with her spells. Upon activation, Evelynn breaks free from slows affecting her and gains a massive Movement Speed boost for a short duration.',	'Passive: Evelynn's spell hits on enemy champions grant her 4/8/12/16/20 Movement Speed for 3 seconds (effect stacks up to 4 times).Active: Evelynn removes all slows affecting her and gains 30/40/50/60/70% Movement Speed for 3 seconds.Champion kills and assists refresh Dark Frenzy's cooldown.',	'No Cost',	0
